Year,Ceremony,Award,Winner,Name,Film
2017,,Original Score,,Star Wars: The Last Jedi,
2017,,Original Score,,Dunkirk,
2017,,Original Score,,Phantom Thread,
2017,,Original Score,,"Three Billboards Outside Ebbing, Missouri",
2017,,Cinematography,1,Blade Runner 2049,
2017,,Cinematography,,Darkest Hour,
2017,,Cinematography,,Dunkirk,
2017,,Cinematography,,Mudbound,
2017,,Cinematography,,The Shape of Water,
2017,,ScreenPlay,1,Get Out,
2017,,ScreenPlay,,"Three Billboards Outside Ebbing, Missouri",
2017,,ScreenPlay,,The Big Sick,
2017,,ScreenPlay,,Lady Bird,
2017,,ScreenPlay,,The Shape of Water,
2017,,Adapted Screenplay,1,Call Me by Your Name,
2017,,Adapted Screenplay,,The Disaster Artist,
2017,,Adapted Screenplay,,Logan,
2017,,Adapted Screenplay,,Molly's Game,
2017,,Adapted Screenplay,,Mudbound,
2017,,Live action,1,The Silent Child,
2017,,Live action,,DeKalb Elementary,
2017,,Live action,,The Eleven O'Clock,
2017,,Live action,,My Nephew Emmett,
2017,,Live action,,Watu Wote/All of Us,
2017,,Film Editing,1,Dunkirk,
2017,,Film Editing,,Baby Driver,
2017,,Film Editing,,"I, Tonya",
2017,,Film Editing,,The Shape of Water,
2017,,Film Editing,,"Three Billboards Outside Ebbing, Missouri",
2017,,Visual Effects,1,Blade Runner 2049,
2017,,Visual Effects,,Guardians of the Galaxy Vol. 2,
2017,,Visual Effects,,Kong: Skull Island,
2017,,Visual Effects,,Star Wars: The Last Jedi,
2017,,Visual Effects,,War for the Planet of the Apes,
2017,,Animated Short,1,Dear Basketball,
2017,,Animated Short,,Garden Party,
2017,,Animated Short,,Lou,
2017,,Animated Short,,Negative Space,
2017,,Animated Short,,Revolting Rhymes,
2017,,Foreign Language Film,1,A Fantastic Woman,
2017,,Foreign Language Film,,The Insult,
2017,,Foreign Language Film,,Loveless,
2017,,Foreign Language Film,,On Body and Soul,
2017,,Foreign Language Film,,The Square,
2017,,Production,1,The Shape of Water,
2017,,Production,,Beauty and the Beast,
2017,,Production,,Blade Runner 2049,
2017,,Production,,Darkest Hour,
2017,,Production,,Dunkirk,
2017,,Sound mixing,1,Dunkirk,
2017,,Sound mixing,,Baby Driver,
2017,,Sound mixing,,Blade Runner 2049,
2017,,Sound mixing,,The Shape of Water,
2017,,Sound mixing,,Star Wars: The Last Jedi,
2017,,Sound Editing,1,Dunkirk,
2017,,Sound Editing,,Baby Driver,
2017,,Sound Editing,,Blade Runner 2049,
2017,,Sound Editing,,The Shape of Water,
2017,,Sound Editing,,Star Wars: The Last Jedi,
2017,,Costume Design,1,Phantom Thread,
2017,,Costume Design,,Beauty and the Beast,
2017,,Costume Design,,Darkest Hour,
2017,,Costume Design,,The Shape of Water,
2017,,Costume Design,,Victoria and Abdul,
2017,,Makeup and Hairstyling,1,Darkest Hour,
2017,,Makeup and Hairstyling,,Victoria and Abdul,
2017,,Makeup and Hairstyling,,Wonder,
